,NO_IES,SG_IES,NO_MANTENEDORA,TP_CAT_ADM_NAME,TP_ORG_ACAD_NAME,NU_ANO_CENSO,QT_CARGA_HORARIA_TOTAL,QT_VAGA_TOTAL,QT_INSCRITO_TOTAL,TOTAL_ALUNOS,ALUNOS_TRANSF,CO_LOCAL_OFERTA,UF,MUNICIPIO,IN_CAPITAL,NO_CURSO,IN_GRATUITO,DT_INICIO_FUNCIONAMENTO,DT_AUTORIZACAO_CURSO,IN_OFERECE_DISC_SEMI_PRES,NU_PERC_CARGA_SEMI_PRES,IN_INGRESSO_VESTIBULAR,IN_INGRESSO_ENEM,IN_INGRESSO_AVALIACAO_SERIADA,IN_INGRESSO_SELECAO_SIMPLIFICA,IN_INGRESSO_OUTRO_TIPO_SELECAO,IN_INGRESSO_VAGA_REMANESC,IN_INGRESSO_VAGA_PROG_ESPECIAL,IN_INGRESSO_TRANSF_EXOFFICIO,IN_INGRESSO_DECISAO_JUDICIAL,IN_INGRESSO_CONVENIO_PECG,IN_INGRESSO_EGRESSO,IN_INGRESSO_OUTRA_FORMA,IN_RESERVA_VAGAS,IN_RESERVA_ETNICO,IN_RESERVA_DEFICIENCIA,IN_RESERVA_ENSINO_PUBLICO,IN_RESERVA_RENDA_FAMILIAR,IN_RESERVA_OUTRA,IN_FINANCIAMENTO_ESTUDANTIL,IN_FIN_REEMB_FIES,IN_FIN_REEMB_ESTADUAL,IN_FIN_REEMB_MUNICIPAL,IN_FIN_REEMB_PROG_IES,IN_FIN_REEMB_ENT_EXTERNA,IN_FIN_REEMB_OUTRA,IN_FIN_NAOREEMB_PROUNI_INTEGR,IN_FIN_NAOREEMB_PROUNI_PARCIAL,IN_FIN_NAOREEMB_ESTADUAL,IN_FIN_NAOREEMB_MUNICIPAL,IN_FIN_NAOREEMB_PROG_IES,IN_FIN_NAOREEMB_ENT_EXTERNA,IN_FIN_NAOREEMB_OUTRA,IN_ATIVIDADE_EXTRACURRICULAR,IN_COMPLEMENTAR_ESTAGIO,IN_COMPLEMENTAR_EXTENSAO,IN_COMPLEMENTAR_MONITORIA,IN_COMPLEMENTAR_PESQUISA,IN_BOLSA_ESTAGIO,IN_BOLSA_EXTENSAO,IN_BOLSA_MONITORIA,IN_BOLSA_PESQUISA,IN_MOBILIDADE_ACADEMICA,IN_MATRICULA,IN_CONCLUINTE,IN_INGRESSO_TOTAL,QT_INSC_VAGA_NOVA_INTEGRAL,QT_INSC_VAGA_REMAN_INTEGRAL,QT_INSC_PROG_ESP_INTEGRAL,QT_VAGAS_NOVAS_INTEGRAL,QT_VAGAS_REMAN_INTEGRAL,QT_VAGAS_PROG_ESP_INTEGRAL,QT_INGRESSO_TOTAL,QT_INGRESSO_VAGA_NOVA,QT_MATRICULA_TOTAL,QT_CONCLUINTE_TOTAL,CO_MANTENEDORA,CO_IES,CO_CURSO,CO_UF,CO_MUNICIPIO
10,UNIVERSIDADE TIRADENTES,UNIT,SOCIEDADE DE EDUCACAO TIRADENTES S/S LTDA,Privada com fins lucrativos,Universidade,2018,6753,195,193,777,0,657873.0,Sergipe,Aracaju,1.0,MEDICINA,0,18/01/2010,,1.0,1.0,662,25,0,0,0.0,115,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,384.0,322.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,176,4.0,67.0,29.0,114.0,4.0,13.0,1.0,34.0,0.0,777,48,160,170.0,23.0,0.0,170.0,25.0,0.0,189,168,777,48,274,398,5000001,28.0,2800308.0
11,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,Pública Federal,Universidade,2018,9315,61,2028,352,0,1078191.0,Sergipe,Lagarto,0.0,MEDICINA,1,27/02/2012,,0.0,,348,0,0,0,0.0,4,0,0,0,0,0,0.0,138,99.0,9.0,133.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,1.0,26.0,2.0,66.0,1.0,6.0,2.0,16.0,0.0,352,86,53,2027.0,1.0,0.0,60.0,1.0,0.0,59,59,352,86,3,3,1108153,28.0,2803500.0
12,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,FUNDACAO UNIVERSIDADE DO AMAZONAS,Pública Federal,Universidade,2018,8785,112,4716,748,0,1041324.0,Amazonas,Manaus,1.0,MEDICINA,1,20/01/1966,,0.0,,18,316,357,0,0.0,38,0,10,6,3,0,0.0,229,183.0,8.0,229.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228,2.0,9.0,138.0,120.0,2.0,9.0,15.0,101.0,0.0,748,55,108,4716.0,0.0,0.0,112.0,0.0,0.0,114,112,748,55,4,4,389,13.0,1302603.0
13,UNIVERSIDADE NILTON LINS,UNINILTONLINS,CENTRO DE ENSINO SUPERIOR NILTON LINS,Privada sem fins lucrativos,Universidade,2018,8420,195,210,603,0,658021.0,Amazonas,Manaus,1.0,MEDICINA,0,01/02/2002,,0.0,,477,23,0,0,0.0,103,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,258.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603,57,142,170.0,40.0,0.0,145.0,50.0,0.0,153,133,603,57,441,669,49060,13.0,1302603.0
14,UNIVERSIDADE DO ESTADO DO AMAZONAS,UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,Pública Estadual,Universidade,2018,7950,84,7397,939,0,697058.0,Amazonas,Manaus,1.0,MEDICINA,1,01/08/2001,,0.0,,672,0,223,1,0.0,11,0,1,31,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166,0.0,26.0,63.0,86.0,0.0,22.0,63.0,31.0,0.0,939,139,134,7397.0,0.0,0.0,84.0,0.0,0.0,161,158,939,139,2015,3172,60660,13.0,1302603.0
15,Centro Universitário CEUNI - FAMETRO,FAMETRO,IME INSTITUTO METROPOLITANO DE ENSINO LTDA,Privada com fins lucrativos,Centro Universitário,2018,8000,150,462,245,0,1049225.0,Amazonas,Manaus,1.0,MEDICINA,0,,,0.0,,234,4,0,7,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245,0,141,462.0,0.0,0.0,150.0,0.0,0.0,147,147,245,0,1416,2147,1385538,13.0,1302603.0
16,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,FUNDACAO UNIVERSIDADE DO AMAZONAS,Pública Federal,Universidade,2018,8130,15,1116,39,0,1036294.0,Amazonas,Coari,0.0,MEDICINA,1,,,0.0,,37,0,0,0,0.0,0,0,0,2,0,0,0.0,17,16.0,1.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,14.0,2.0,0.0,0.0,0.0,2.0,0.0,39,0,14,1116.0,0.0,0.0,15.0,0.0,0.0,15,13,39,0,4,4,5001406,13.0,1301209.0
17,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,FUNDACAO UNIVERSIDADE FEDERAL DO PIAUI,Pública Federal,Universidade,2018,9285,80,2993,509,0,102559.0,Piauí,Teresina,1.0,MEDICINA,1,01/01/1968,,0.0,,0,490,6,0,0.0,0,0,2,8,3,0,0.0,164,136.0,7.0,164.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306,25.0,213.0,83.0,88.0,25.0,0.0,68.0,88.0,0.0,509,72,75,2993.0,0.0,0.0,80.0,0.0,0.0,77,77,509,72,14054,5,484,22.0,2211001.0
18,UNIVERSIDADE ESTADUAL DO PIAUÍ,UESPI,FUNDACAO UNIVERSIDADE ESTADUAL DO PIAUI FUESPI,Pública Estadual,Universidade,2018,4410,51,51,297,0,658081.0,Piauí,Teresina,1.0,MEDICINA,1,01/03/1999,,1.0,20.0,240,138,0,0,0.0,52,0,0,5,0,0,0.0,23,18.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297,51,39,50.0,1.0,0.0,50.0,1.0,0.0,51,46,297,51,512,756,19086,22.0,2211001.0
19,CENTRO UNIVERSITÁRIO UNINOVAFAPI,UNINOVAFAPI,INSTITUTO DE ENSINO SUPERIOR DO PIAUI LTDA,Privada com fins lucrativos,Centro Universitário,2018,7600,193,395,961,0,658582.0,Piauí,Teresina,1.0,MEDICINA,0,27/08/2004,,0.0,,0,722,0,97,0.0,98,0,0,44,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,327.0,257.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,961,0.0,961.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,961,118,223,395.0,0.0,0.0,193.0,0.0,0.0,226,189,961,118,16550,1563,72669,22.0,2211001.0
20,Faculdade Integral Diferencial Wyden,Facid Wyden,ADTALEM EDUCACIONAL DO BRASIL S/A,Privada com fins lucrativos,Faculdade,2018,7830,117,2547,639,2,658725.0,Piauí,Teresina,1.0,MEDICINA,0,21/02/2005,,0.0,,594,33,0,0,0.0,12,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,235.0,191.0,0.0,0.0,0.0,2.0,0.0,42.0,0.0,0.0,0.0,2.0,0.0,0.0,4,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,639,93,125,2540.0,7.0,0.0,110.0,7.0,0.0,125,122,639,93,1174,1734,79007,22.0,2211001.0
21,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,FUNDACAO UNIVERSIDADE FEDERAL DO PIAUI,Pública Federal,Universidade,2018,7650,88,4834,203,0,338.0,Piauí,Parnaíba,0.0,MEDICINA,1,10/09/2014,,0.0,,0,183,0,0,0.0,10,0,0,6,4,0,0.0,83,70.0,2.0,83.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,1.0,47.0,18.0,23.0,1.0,12.0,14.0,23.0,0.0,203,0,63,4826.0,8.0,0.0,80.0,8.0,0.0,75,68,203,0,14054,5,1202553,22.0,2207702.0
22,"FACULDADE DE CIÊNCIAS HUMANAS,EXATAS E DA SAÚDE DO PIAUÍ",FAHESP,INSTITUTO DE EDUCACAO SUPERIOR DO VALE DO PARNAIBA LTDA.,Privada com fins lucrativos,Faculdade,2018,8260,210,841,356,0,1058212.0,Piauí,Parnaíba,0.0,MEDICINA,0,30/12/2015,,0.0,,47,111,0,0,0.0,196,0,0,2,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356,0,177,588.0,253.0,0.0,98.0,112.0,0.0,211,98,356,0,15617,17565,1180318,22.0,2207702.0
23,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,FUNDACAO UNIVERSIDADE FEDERAL DO PIAUI,Pública Federal,Universidade,2018,3960,30,2954,69,0,1002563.0,Piauí,Picos,0.0,MEDICINA,1,25/07/2016,,0.0,,0,67,0,0,0.0,0,0,2,0,0,0,0.0,33,28.0,3.0,33.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,17.0,20.0,4.0,0.0,6.0,17.0,4.0,0.0,69,0,29,2954.0,0.0,0.0,30.0,0.0,0.0,29,27,69,0,14054,5,1342610,22.0,2208007.0
24,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,SECRET DE EST CIENCIA TECNOLOGIA E ENSINO SUPERIOR SETI,Pública Estadual,Universidade,2018,9139,80,6387,491,0,692668.0,Paraná,Londrina,0.0,MEDICINA,1,15/02/1967,,1.0,20.0,479,0,0,2,0.0,4,0,1,0,5,0,0.0,200,104.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399,249.0,248.0,36.0,40.0,249.0,0.0,0.0,0.0,1.0,491,71,81,6387.0,0.0,0.0,80.0,0.0,0.0,81,81,491,71,37,9,758,41.0,4113700.0
25,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,ASSOCIACAO PARANAENSE DE CULTURA - APC,Privada sem fins lucrativos,Universidade,2018,7737,75,1475,416,0,1496.0,Paraná,Londrina,0.0,MEDICINA,0,01/08/2012,,0.0,,329,41,0,0,0.0,45,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,199.0,119.0,0.0,0.0,36.0,11.0,0.0,32.0,0.0,0.0,0.0,3.0,0.0,0.0,217,138.0,0.0,61.0,56.0,0.0,0.0,32.0,24.0,0.0,416,108,63,1463.0,12.0,0.0,60.0,15.0,0.0,66,54,416,108,10,10,1059179,41.0,4113700.0
26,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,ASSOCIACAO PARANAENSE DE CULTURA - APC,Privada sem fins lucrativos,Universidade,2018,7483,199,4482,1197,0,657676.0,Paraná,Curitiba,1.0,MEDICINA,0,11/03/1957,,0.0,,967,141,0,0,0.0,89,0,0,2,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,629.0,326.0,0.0,0.0,145.0,43.0,0.0,105.0,0.0,0.0,0.0,23.0,0.0,0.0,326,13.0,0.0,83.0,250.0,3.0,0.0,56.0,131.0,1.0,1197,184,193,4466.0,16.0,0.0,180.0,19.0,0.0,196,180,1197,184,10,10,868,41.0,4106902.0
27,FACULDADE EVANGÉLICA DO PARANÁ,FEPAR,SOCIEDADE EVANGELICA BENEFICENTE DE CURITIBA,Privada sem fins lucrativos,Faculdade,2018,7970,128,3092,766,0,657849.0,Paraná,Curitiba,1.0,MEDICINA,0,03/01/1969,,0.0,,702,19,0,0,0.0,44,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,159.0,139.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,452,5.0,378.0,68.0,107.0,5.0,0.0,63.0,15.0,0.0,766,114,136,2967.0,125.0,0.0,120.0,8.0,0.0,138,130,766,114,246,353,7705,41.0,4106902.0
28,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,UNIVERSIDADE FEDERAL DO PARANA,Pública Federal,Universidade,2018,8400,190,9796,1257,0,1005376.0,Paraná,Curitiba,1.0,MEDICINA,1,09/12/1912,,0.0,,1020,218,0,3,0.0,5,0,6,4,1,0,0.0,85,32.0,1.0,84.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478,189.0,44.0,135.0,187.0,0.0,0.0,39.0,47.0,2.0,1257,194,190,9796.0,0.0,0.0,190.0,0.0,0.0,194,188,1257,194,15595,571,12569,41.0,4106902.0
29,UNIVERSIDADE POSITIVO,UP,CENTRO DE ESTUDOS SUPERIORES POSITIVO LTDA,Privada com fins lucrativos,Universidade,2018,7940,203,4402,792,0,1003235.0,Paraná,Curitiba,1.0,MEDICINA,0,17/02/2003,,1.0,1.0,699,76,0,0,0.0,17,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,260.0,187.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792,93,190,4222.0,180.0,0.0,195.0,8.0,0.0,191,187,792,93,418,1042,59414,41.0,4106902.0
30,FACULDADES PEQUENO PRÍNCIPE,FPP,ASSOCIACAO HOSPITALAR DE PROT INFANCIA DR RAUL CARNEIRO,Privada sem fins lucrativos,Faculdade,2018,9300,114,4426,451,0,1095611.0,Paraná,Curitiba,1.0,MEDICINA,0,07/05/2014,,0.0,,430,63,0,0,0.0,20,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,181.0,110.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,9.0,0.0,0.0,177,2.0,73.0,126.0,37.0,2.0,0.0,40.0,13.0,0.0,451,0,107,4253.0,173.0,0.0,100.0,14.0,0.0,108,94,451,0,1812,2787,1192237,41.0,4106902.0
31,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,Pública Federal,Universidade,2018,7945,77,4735,419,0,1056067.0,Rio Grande do Sul,Rio Grande,0.0,MEDICINA,1,01/03/1966,,0.0,,2,383,0,14,0.0,8,0,0,6,6,0,0.0,191,49.0,9.0,175.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174,0.0,161.0,4.0,43.0,0.0,9.0,4.0,6.0,1.0,419,59,70,4735.0,0.0,0.0,77.0,0.0,0.0,77,74,419,59,15596,12,1026,43.0,4315602.0
